@relation  contraceptive
@attribute Wife_age integer[16,49]
@attribute Wife_education integer[1,4]
@attribute Husband_education integer[1,4]
@attribute Children integer[0,16]
@attribute Wife_religion integer[0,1]
@attribute Wife_working integer[0,1]
@attribute Husband_occupation integer[1,4]
@attribute Standard-of-living integer[1,4]
@attribute Media_exposure integer[0,1]
@attribute Contraceptive_method{1,2,3}
@inputs Wife_age, Wife_education, Husband_education, Children, Wife_religion, Wife_working, Husband_occupation, Standard-of-living, Media_exposure
@outputs Contraceptive_method
@data
37, 4, 4, 7, 1, 1, 3, 4, 0, 1
46, 3, 4, 3, 1, 1, 1, 1, 0, 1
48, 4, 2, 2, 1, 0, 1, 4, 0, 1
46, 3, 1, 0, 1, 1, 3, 2, 0, 1
25, 3, 3, 1, 1, 1, 2, 2, 0, 1
39, 3, 1, 1, 1, 1, 1, 3, 0, 1
44, 3, 3, 1, 1, 0, 3, 4, 0, 1
36, 2, 3, 6, 1, 1, 2, 3, 0, 1
25, 2, 3, 2, 1, 1, 3, 2, 0, 1
45, 2, 3, 6, 1, 1, 2, 2, 1, 1
42, 3, 3, 5, 1, 1, 2, 2, 0, 1
34, 2, 4, 6, 0, 0, 3, 4, 0, 1
48, 3, 1, 11, 1, 1, 1, 3, 0, 1
48, 4, 4, 0, 0, 1, 1, 4, 0, 1
45, 4, 4, 1, 0, 1, 1, 4, 0, 1
46, 3, 2, 1, 1, 0, 3, 3, 0, 1
31, 3, 4, 3, 0, 0, 2, 4, 0, 1
36, 3, 3, 3, 0, 0, 3, 3, 1, 1
41, 2, 4, 16, 0, 1, 2, 1, 0, 1
29, 2, 4, 1, 1, 1, 1, 4, 0, 1
34, 1, 3, 4, 1, 0, 3, 4, 0, 1
31, 3, 2, 1, 1, 1, 3, 4, 0, 1
25, 4, 2, 0, 0, 1, 2, 4, 0, 1
34, 3, 3, 6, 1, 1, 2, 2, 0, 1
26, 1, 3, 1, 1, 1, 3, 1, 0, 1
17, 3, 4, 6, 1, 1, 1, 3, 0, 2
40, 4, 4, 4, 1, 1, 4, 2, 0, 2
26, 1, 4, 2, 1, 1, 1, 4, 0, 2
27, 4, 2, 3, 1, 1, 1, 3, 0, 2
34, 4, 4, 4, 1, 1, 2, 4, 0, 2
29, 1, 4, 3, 1, 1, 2, 2, 0, 2
21, 4, 4, 1, 0, 1, 1, 4, 0, 2
24, 4, 4, 1, 1, 1, 2, 4, 0, 2
27, 4, 4, 1, 1, 0, 3, 3, 0, 2
34, 3, 4, 4, 0, 1, 3, 3, 0, 2
19, 4, 4, 3, 1, 0, 2, 3, 1, 2
33, 4, 4, 2, 0, 0, 2, 3, 0, 2
38, 4, 4, 14, 0, 0, 2, 4, 1, 2
36, 4, 4, 3, 0, 1, 3, 3, 0, 2
39, 4, 4, 3, 0, 1, 2, 4, 0, 2
28, 3, 4, 2, 1, 1, 1, 3, 0, 2
26, 2, 2, 4, 1, 0, 4, 4, 0, 2
38, 4, 3, 4, 1, 1, 2, 4, 0, 2
36, 3, 3, 4, 1, 1, 1, 3, 0, 2
44, 4, 4, 13, 0, 1, 2, 1, 0, 2
34, 4, 4, 2, 1, 0, 1, 2, 0, 2
41, 4, 4, 4, 0, 1, 1, 4, 0, 2
36, 4, 4, 3, 1, 1, 1, 4, 0, 2
17, 3, 4, 1, 1, 1, 3, 3, 1, 3
46, 4, 4, 6, 1, 1, 3, 3, 0, 3
24, 2, 3, 3, 1, 1, 3, 3, 0, 3
40, 4, 4, 4, 0, 0, 2, 3, 0, 3
35, 2, 3, 6, 1, 1, 2, 3, 0, 3
25, 2, 1, 3, 1, 1, 3, 3, 0, 3
21, 2, 2, 1, 1, 1, 3, 1, 1, 3
25, 2, 3, 10, 1, 0, 2, 4, 0, 3
24, 3, 4, 4, 1, 1, 3, 1, 0, 3
25, 4, 4, 4, 1, 1, 4, 2, 0, 3
25, 1, 4, 3, 0, 1, 2, 4, 0, 3
32, 4, 4, 4, 1, 1, 2, 1, 0, 3
36, 4, 4, 3, 1, 0, 2, 4, 0, 3
30, 3, 4, 2, 1, 0, 2, 3, 0, 3
31, 4, 4, 2, 0, 1, 1, 4, 0, 3
23, 3, 3, 2, 1, 1, 3, 1, 0, 3
36, 2, 3, 6, 1, 1, 1, 3, 0, 3
25, 4, 4, 2, 1, 1, 2, 3, 1, 3
30, 3, 4, 3, 1, 1, 3, 4, 0, 3
23, 4, 3, 3, 1, 0, 2, 1, 0, 3
36, 3, 4, 10, 1, 1, 3, 4, 0, 3
28, 4, 3, 2, 1, 1, 3, 2, 0, 3
47, 4, 1, 5, 1, 1, 4, 2, 0, 3
44, 4, 4, 5, 1, 1, 3, 4, 0, 3
21, 2, 4, 5, 1, 1, 3, 4, 0, 3
24, 4, 4, 13, 1, 1, 1, 3, 0, 3
30, 2, 3, 5, 0, 1, 4, 4, 0, 3
29, 1, 3, 1, 0, 0, 2, 4, 0, 3
36, 4, 4, 3, 0, 1, 3, 4, 0, 3
38, 2, 3, 5, 1, 1, 3, 3, 0, 3
37, 2, 4, 4, 1, 0, 2, 1, 0, 3
40, 2, 2, 4, 0, 0, 3, 4, 1, 3
17, 1, 3, 1, 1, 1, 2, 4, 0, 3
